Depth: 0, Beam size: 2, Best score: 103.65, Remaining: 399, Moves: 1
Depth: 50, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 100, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 150, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 200, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 250, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 300, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 350, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 400, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 450, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 500, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 550, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 600, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 650, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 700, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 750, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 800, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 850, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 900, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 950, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1000, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1050, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1100, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1150, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1200, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
Depth: 1250, Beam size: 300, Best score: 15348.5, Remaining: 384, Moves: 19
